title,target_muscle_group,exercise_type,equipment,mechanics,force_type,experience_level,secondary_muscles,video_url,video_type
close grip pull down,Lats,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/uAyrz5GTEHg?rel=0,youtube
wide grip pull up,Lats,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/5oxviYmdHCY?rel=0,youtube
chin up,Lats,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/1EJ3A3rEtlo?rel=0,youtube
straight arm lat pull down,Lats,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/gDtXrJWPdlY?rel=0,youtube
reverse grip lat pull down,Lats,Strength,Machine,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/8DAFwftgZHQ?rel=0,youtube
v bar pull up,Lats,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",cdn.muscleandstrength.com/video/vbarpullup.mp4,mp4
standing one arm cable row,Lats,Strength,Cable,Compound,Pull (Unilateral),Beginner,"Abs, Biceps, Shoulders, Traps, Upper Back",https://www.youtube.com/embed/vGvryEp84qE?rel=0,youtube
close grip pull up,Lats,Strength,Bodyweight,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/tgDl9PlA4-Q?rel=0,youtube
underhand close grip lat pull down,Lats,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Middle Back",cdn.muscleandstrength.com/video/underhandclosegriplatpulldown.mp4,mp4
rope lat pull down,Lats,Strength,Machine,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",cdn.muscleandstrength.com/video/ropepulldown.mp4,mp4
behind neck lat pull down,Lats,Strength,Machine,Compound,Pull (Bilateral),Intermediate,"Abs, Biceps, Shoulders, Upper Back",https://www.youtube.com/embed/u0NAUhxSt6M?rel=0,youtube
overhand close grip lat pull down,Lats,Strength,Machine,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",cdn.muscleandstrength.com/video/overhandclosegriplatpulldown.mp4,mp4
wide grip chin up,Lats,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Middle Back, Shoulders",cdn.muscleandstrength.com/video/widegripchinup.mp4,mp4
dumbbell deadlift,Lower Back,Strength,Dumbbell,Compound,Pull,Beginner,"Calves, Forearms, Glutes, Hamstrings, Middle Back, Quads, Traps",cdn.muscleandstrength.com/video/dumbbelldeadlift.mp4,mp4
smith machine deadlift,Lower Back,Strength,Machine,Compound,Pull,Intermediate,"Calves, Forearms, Glutes, Hamstrings, Lats, Middle Back, Quads, Traps",cdn.muscleandstrength.com/video/smithmachinedeadlift.mp4,mp4
one arm dumbbell row,Upper Back,Strength,Dumbbell,Compound,Pull (Unilateral),Beginner,"Abs, Biceps, Lats, Shoulders",https://www.youtube.com/embed/YZgVEy6cmaY?rel=0,youtube
bent over dumbbell row,Upper Back,Strength,Dumbbell,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Lats, Lower Back, Shoulders",https://www.youtube.com/embed/DhewkuU_95s?rel=0,youtube
bent over barbell row,Upper Back,Strength,Barbell,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Lats, Lower Back, Shoulders",https://www.youtube.com/embed/paCfxhgW6bI?rel=0,youtube
seated row,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/seatedcablerow.mp4,mp4
machine row,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats",cdn.muscleandstrength.com/video/machinerow.mp4,mp4
reverse grip bent over dumbbell row,Upper Back,Strength,Dumbbell,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/reversegripbentoverdumbbellrow.mp4,mp4
smith machine bodyweight row,Upper Back,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Lats",cdn.muscleandstrength.com/video/invertedrow.mp4,mp4
incline bench two arm dumbbell row,Upper Back,Strength,Dumbbell,Compound,Pull (Bilateral),Beginner,"Biceps, Lats, Shoulders",https://www.youtube.com/embed/WPpMRmgoe8I?rel=0,youtube
bent over row,Upper Back,Strength,Barbell,Compound,Pull (Bilateral),Beginner,"Abs, Biceps, Lats, Lower Back, Shoulders, Traps",https://www.youtube.com/embed/gJSov9rHIf0?rel=0,youtube
machine t bar row,Upper Back,Strength,Machine,Compound,Pull (Bilateral),Beginner,"Biceps, Lats, Shoulders",https://www.youtube.com/embed/kHW23afzaUs?rel=0,youtube
smith machine bent over row,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/smithmachinebentoverrow.mp4,mp4
reverse grip bent over row,Upper Back,Strength,Barbell,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/reversegripbentoverrow.mp4,mp4
high inverted row,Upper Back,Strength,Bodyweight,Compound,Pull,Beginner,"Biceps, Lats",cdn.muscleandstrength.com/video/highinvertedrow.mp4,mp4
one arm bent over row,Upper Back,Strength,Barbell,Compound,Pull,Intermediate,"Biceps, Lats, Lower Back, Traps",cdn.muscleandstrength.com/video/onearmbentoverrow.mp4,mp4
one arm cable row,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats, Triceps",cdn.muscleandstrength.com/video/onearmseatedcablerow.mp4,mp4
one arm machine row,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats",cdn.muscleandstrength.com/video/onearmmachinerow.mp4,mp4
incline bench barbell row,Upper Back,Strength,Barbell,Compound,Pull,Intermediate,"Biceps, Lats",cdn.muscleandstrength.com/video/inclinebenchbarbellrow.mp4,mp4
reverse grip incline bench barbell row,Upper Back,Strength,Barbell,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/reversegripinclinebenchbarbellrow.mp4,mp4
seated row using rope,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/ropeseatedrow.mp4,mp4
ez bar reverse grip bent over row,Upper Back,Strength,EZ Bar,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/ezbarreversegripbentoverrow.mp4,mp4
incline bench cable row,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats",cdn.muscleandstrength.com/video/inclinebenchcablerow.mp4,mp4
reverse grip smith machine bent over row,Upper Back,Strength,Machine,Compound,Pull,Beginner,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/reversegripsmithmachinebentoverrow.mp4,mp4
seated high cable row,Upper Back,Strength,Cable,Compound,Pull,Beginner,"Biceps, Lats",cdn.muscleandstrength.com/video/seatedhighcablerow.mp4,mp4
cable palm rotational row,Upper Back,Strength,Cable,Compound,Pull,Intermediate,"Biceps, Lats",cdn.muscleandstrength.com/video/cablepalmrotationalrow.mp4,mp4
palm rotational row,Upper Back,Strength,Dumbbell,Compound,Pull,Intermediate,"Biceps, Lats",cdn.muscleandstrength.com/video/palmrotationalrow.mp4,mp4
palms in bent over dumbbell row,Upper Back,Strength,Dumbbell,Compound,Pull,Beginner,"Biceps, Lats",cdn.muscleandstrength.com/video/palmsinbentoverdumbbellrow.mp4,mp4
reverse grip incline bench two arm dumbbell row,Upper Back,Strength,Dumbbell,Compound,Pull,Intermediate,"Biceps, Lats, Shoulders",cdn.muscleandstrength.com/video/reversegripinclinebenchtwoarmdumbbellrow.mp4,mp4
side crunch,Obliques,Strength,Bodyweight,Isolation,Pull (Bilateral),Beginner,Abs,https://www.youtube.com/embed/dRhloYXeE3E?rel=0,youtube
wood chop,Obliques,Strength,Cable,Compound,Isometric,Beginner,Abs,https://www.youtube.com/embed/0VWnOjUO7ks?rel=0,youtube
low wood chop,Obliques,Strength,Cable,Compound,Isometric,Beginner,Abs,https://www.youtube.com/embed/avweSt-TARk?rel=0,youtube
squat,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/R2dMsNhN3DE?rel=0,youtube
leg extension,Quads,Strength,Machine,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/0fl1RRgJ83I?rel=0,youtube
dumbbell squat,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings, Lower Back",cdn.muscleandstrength.com/video/dumbbellsquat.mp4,mp4
dumbbell lunge,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/dumbbelllunge.mp4,mp4
45 degree leg press,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/sEM_zo9w2ss?rel=0,youtube
dumbbell step up,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/dumbbellstepup.mp4,mp4
hack squat,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/63tboDKQksc?rel=0,youtube
dumbbell rear lunge,Quads,Strength,Dumbbell,Compound,Push (Unilateral),Intermediate,"Calves, Glutes, Hamstrings",https://www.youtube.com/embed/Ix9QZ3Pnneo?rel=0,youtube
one leg dumbbell squat aka bulgarian squat,Quads,Strength,Dumbbell,Compound,Push (Unilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",https://www.youtube.com/embed/uqI3GVwfToU?rel=0,youtube
front squat,Quads,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Hip Flexors, Upper Back",https://www.youtube.com/embed/9xAkoz95IFE?rel=0,youtube
frog squat,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Abs, Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/frogsquat.mp4,mp4
pile squat,Quads,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/MsxLG_ZEoOQ?rel=0,youtube
dumbbell walking lunge,Quads,Strength,Dumbbell,Compound,Push (Unilateral),Advanced,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",https://www.youtube.com/embed/uRSsOoZG9z8?rel=0,youtube
bodyweight walking lunge,Quads,Strength,Bodyweight,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/bodyweightwalkinglunge.mp4,mp4
bodyweight jump squat,Quads,Plyometrics,Bodyweight,Compound,Push,Beginner,"Glutes, Hamstrings",cdn.muscleandstrength.com/video/bodyweightjumpingsquats.mp4,mp4
barbell lunge,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Hamstrings, Lower Back",cdn.muscleandstrength.com/video/barbelllunge.mp4,mp4
dumbbell side lunge,Quads,Strength,Dumbbell,Compound,Push,Beginner,"Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/dumbbellsidelunge.mp4,mp4
bodyweight squat,Quads,Strength,Bodyweight,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/0PboqagHAjs?rel=0,youtube
bodyweight side lunge,Quads,Strength,Bodyweight,Compound,Push,Beginner,"Glutes, Hamstrings",cdn.muscleandstrength.com/video/bodyweightsidelunge.mp4,mp4
smith machine squat,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/BtfMX4WqUBo?rel=0,youtube
bodyweight lunge,Quads,Strength,Bodyweight,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",https://www.youtube.com/embed/4hqtPrp-E8A?rel=0,youtube
barbell rear lunge,Quads,Strength,Barbell,Compound,Push (Unilateral),Intermediate,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",https://www.youtube.com/embed/U1gWfjAIS4Q?rel=0,youtube
barbell hack squat,Quads,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Adductors, Calves, Forearms, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/cSId0_Q9fdM?rel=0,youtube
rear bodyweight lunge,Quads,Strength,Bodyweight,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",https://www.youtube.com/embed/hufyk-2xQ5g?rel=0,youtube
one leg 45 degree leg press,Quads,Strength,Machine,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/6KTTfLmdwE0?rel=0,youtube
smith machine front squat,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/KxncKSqtRZU?rel=0,youtube
sissy squat,Quads,Strength,Bodyweight,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/sissysquat.mp4,mp4
single leg extension,Quads,Strength,Machine,Isolation,Push (Unilateral),Beginner,None,https://www.youtube.com/embed/ymCvLgI9wlA?rel=0,youtube
walking barbell lunge,Quads,Strength,Barbell,Compound,Push (Unilateral),Advanced,"Abs, Adductors, Calves, Glutes, Hamstrings, Shoulders, Traps, Upper Back",https://www.youtube.com/embed/Kt6pWpaCMGE?rel=0,youtube
dumbbell jumping squat,Quads,Strength,Dumbbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings",cdn.muscleandstrength.com/video/dumbbelljumpingsquats.mp4,mp4
bodyweight step up,Quads,Strength,Bodyweight,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",https://www.youtube.com/embed/90-X4kqhY3E?rel=0,youtube
smith machine lunge,Quads,Strength,Machine,Compound,Push (Unilateral),Beginner,"Abs, Adductors, Calves, Glutes, Hamstrings",https://www.youtube.com/embed/y0xcouTthps?rel=0,youtube
wide stance 45 degree leg press,Quads,Strength,Machine,Compound,Push (Bilateral),Beginner,"Adductors, Calves, Glutes, Hamstrings, Lower Back",https://www.youtube.com/embed/V3iccY5syPs?rel=0,youtube
sumo squat,Quads,Strength,Barbell,Compound,Push,Intermediate,"Calves, Glutes, Hamstrings, Lower Back",cdn.muscleandstrength.com/video/sumosquat.mp4,mp4
dumbbell lateral raise,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/dumbbelllateralraise.mp4,mp4
military press,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Abs, Traps, Triceps",https://www.youtube.com/embed/j7ULT6dznNc?rel=0,youtube
bent over dumbbell reverse fly,Shoulders,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,"Traps, Triceps",https://www.youtube.com/embed/Fgz_FdzDukE?rel=0,youtube
seated dumbbell press,Shoulders,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Traps, Triceps",https://www.youtube.com/embed/FRxZ6wr5bpA?rel=0,youtube
standing dumbbell press,Shoulders,Strength,Dumbbell,Compound,Push,Beginner,Triceps,cdn.muscleandstrength.com/video/standingdumbbellpress.mp4,mp4
smith machine shoulder press,Shoulders,Strength,Machine,Compound,Push,Beginner,Triceps,cdn.muscleandstrength.com/video/smithmachineshoulderpress.mp4,mp4
seated arnold press,Shoulders,Strength,Dumbbell,Compound,Push (Bilateral),Intermediate,"Traps, Triceps",https://www.youtube.com/embed/hmnZKRpYaV8?rel=0,youtube
seated shoulder press,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Traps, Triceps",https://www.youtube.com/embed/Gxhx7GpRb5g?rel=0,youtube
seated dumbbell lateral raise,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/seateddumbbelllateralraise.mp4,mp4
dumbbell reverse fly,Shoulders,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,"Traps, Triceps",https://www.youtube.com/embed/b9YUtRP184o?rel=0,youtube
one arm cable lateral raise,Shoulders,Strength,Cable,Isolation,Pull (Unilateral),Intermediate,Traps,https://www.youtube.com/embed/Fv-eAW1uKDI?rel=0,youtube
standing cable flys,Shoulders,Strength,Cable,Isolation,Pull (Bilateral),Beginner,"Traps, Upper Back",https://www.youtube.com/embed/XG78cUVtKYY?rel=0,youtube
two arm cable lateral raise,Shoulders,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/cablelateralraise.mp4,mp4
seated barbell press behind neck,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Intermediate,"Traps, Triceps",https://www.youtube.com/embed/dCjtWWSxp98?rel=0,youtube
machine lateral raise,Shoulders,Strength,Machine,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/machinelateralraise.mp4,mp4
dumbbell front raise,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/standingdumbbellfrontraise.mp4,mp4
barbell front raise,Shoulders,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,"Abs, Traps",https://www.youtube.com/embed/lhV2-z6s_bI?rel=0,youtube
standing arnold press,Shoulders,Strength,Dumbbell,Compound,Push,Intermediate,None,cdn.muscleandstrength.com/video/standingarnoldpress.mp4,mp4
weight plate front raise,Shoulders,Strength,Other,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/weightplatefrontraise.mp4,mp4
one arm dumbbell lateral raise,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/onearmdumbbelllateralraise.mp4,mp4
dumbbell upright row,Shoulders,Strength,Dumbbell,Compound,Pull (Bilateral),Beginner,"Biceps, Traps, Upper Back",https://www.youtube.com/embed/Cxrmdrq1s3E?rel=0,youtube
cable upright row,Shoulders,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Biceps, Traps, Upper Back",https://www.youtube.com/embed/kZpdmn_djFI?rel=0,youtube
smith machine upright row,Shoulders,Strength,Machine,Compound,Pull (Bilateral),Beginner,"Shoulders, Traps",https://www.youtube.com/embed/MeuEww_fjnk?rel=0,youtube
seated palms in dumbbell press,Shoulders,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Traps, Triceps",https://www.youtube.com/embed/y03eDnIFfK8?rel=0,youtube
clean press,Shoulders,Strength,Barbell,Compound,Push,Intermediate,"Glutes, Hamstrings, Lower Back, Triceps",cdn.muscleandstrength.com/video/cleanpress.mp4,mp4
dumbbell reverse fly on incline bench,Shoulders,Strength,Dumbbell,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/dumbbellreverseflyinclinebench.mp4,mp4
cable front raise,Shoulders,Strength,Cable,Compound,Pull (Bilateral),Beginner,"Traps, Upper Back",https://www.youtube.com/embed/CsnKFGAx0Zc?rel=0,youtube
alternate seated dumbbell press,Shoulders,Strength,Dumbbell,Compound,Push (Unilateral),Beginner,"Traps, Triceps",https://www.youtube.com/embed/AYacfAeoNGo?rel=0,youtube
upright row,Traps,Strength,Barbell,Compound,Pull,Beginner,"Biceps, Shoulders",cdn.muscleandstrength.com/video/barbelluprightrow.mp4,mp4
dumbbell shrugs,Traps,Strength,Dumbbell,Isolation,Pull (Bilateral),Beginner,"Shoulders, Upper Back",https://www.youtube.com/embed/dj2Gm628kas?rel=0,youtube
barbell shrug,Traps,Strength,Barbell,Isolation,Pull (Bilateral),Beginner,"Shoulders, Upper Back",https://www.youtube.com/embed/6hNudn7Peco?rel=0,youtube
seated dumbbell shrug,Traps,Strength,Dumbbell,Isolation,Pull,Beginner,None,https://player.vimeo.com/video/756787846?h=51d0483703&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
wide grip upright rows,Traps,Strength,Barbell,Compound,Pull,Intermediate,"Lats, Shoulders",https://player.vimeo.com/video/756787972?h=573d1419c7&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
one arm dumbbell upright row,Traps,Strength,Dumbbell,Compound,Pull,Beginner,Biceps,https://player.vimeo.com/video/756787860?h=e2c4785495&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
smith machine shrug,Traps,Strength,Machine,Isolation,Pull,Beginner,None,https://player.vimeo.com/video/756787942?h=f23d4144a3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
cable shrug,Traps,Strength,Cable,Isolation,Pull (Bilateral),Beginner,"Shoulders, Upper Back",https://www.youtube.com/embed/LwTq3v2GUF4?rel=0,youtube
tate press,Traps,Strength,Dumbbell,Compound,Push,Intermediate,"Chest, Shoulders",cdn.muscleandstrength.com/video/tatepress.mp4,mp4
behind the back barbell shrug,Traps,Strength,Barbell,Isolation,Pull,Beginner,None,https://player.vimeo.com/video/756787954?h=78ea1a82c8&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
cable row to neck,Traps,Strength,Cable,Compound,Pull,Beginner,"Lats, Shoulders",https://player.vimeo.com/video/756787906?h=2820b88eaa&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
lying cable upright row,Traps,Strength,Cable,Compound,Pull,Intermediate,Biceps,https://player.vimeo.com/video/756787886?h=68c9bf1a1d&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
seated cable shrug,Traps,Strength,Cable,Isolation,Pull,Beginner,None,https://player.vimeo.com/video/756787924?h=b2099b1a45&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
lying cable shrug,Traps,Strength,Cable,Isolation,Pull,Intermediate,None,https://player.vimeo.com/video/756787871?h=8ecb5a0486&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
tricep extension,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/mpZ9VRisAyw?rel=0,youtube
rope tricep extension,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/LzwgB15UdO8?rel=0,youtube
two arm dumbbell extension,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/LlCFtWCQc5s?rel=0,youtube
ez bar skullcrusher,Triceps,Strength,EZ Bar,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/K6MSN4hCDM4?rel=0,youtube
lying dumbbell extension,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,"Chest, Shoulders",https://player.vimeo.com/video/756784027?h=3e566cd972&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
dumbbell floor press,Triceps,Strength,Dumbbell,Compound,Push (Bilateral),Beginner,"Chest, Shoulders",https://www.youtube.com/embed/gaBOfLlIXjs?rel=0,youtube
lying tricep extension,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,https://player.vimeo.com/video/756784165?h=2875a34466&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
close grip bench press,Triceps,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Chest, Shoulders",https://www.youtube.com/embed/j-NhORwJDb4?rel=0,youtube
tricep dip,Triceps,Strength,Bodyweight,Compound,Push,Beginner,"Chest, Shoulders",cdn.muscleandstrength.com/video/tricepdip.mp4,mp4
two arm standing dumbbell extension,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,Abs,https://www.youtube.com/embed/VjmgzEmODnI?rel=0,youtube
bent over dumbbell kickback,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/BL9CzOQZDrs?rel=0,youtube
weighted tricep dips,Triceps,Strength,Other,Compound,Push (Bilateral),Advanced,"Chest, Shoulders",https://www.youtube.com/embed/ZQnPQG5d67E?rel=0,youtube
french press,Triceps,Strength,Barbell,Isolation,Push,Beginner,None,https://player.vimeo.com/video/756784267?h=924a444ae5&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
one arm dumbbell extension,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,None,https://player.vimeo.com/video/756783880?h=37f9e187d3&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
tricep bench dip,Triceps,Strength,Bodyweight,Compound,Push,Beginner,Shoulders,https://player.vimeo.com/video/756783893?h=d0044faa39&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
tricep kickback,Triceps,Strength,Dumbbell,Isolation,Push,Beginner,None,https://player.vimeo.com/video/756784100?h=648ecf05b8&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
incline skullcrusher,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,https://player.vimeo.com/video/756784389?h=0fb8b664ad&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
overhead barbell extension,Triceps,Strength,Barbell,Isolation,Push,Intermediate,None,https://player.vimeo.com/video/756784303?h=4f581ad0d9&badge=0&autopause=0&player_id=0&app_id=58479/embed,vimeo
reverse grip tricep extension,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/mNDpEivaal8?rel=0,youtube
standing low pulley overhead tricep extension %28rope extension%29,Triceps,Strength,Cable,Isolation,Push,Beginner,None,https://player.vimeo.com/video/756787995?h=d5d2846b2b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
one arm seated dumbbell extension,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,None,https://player.vimeo.com/video/756784121?h=c8ff6cb098&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
close grip push up,Triceps,Strength,Bodyweight,Compound,Push,Beginner,Shoulders,https://player.vimeo.com/video/756784503?h=8b3ba1decc&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
overhead tricep extension,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,Abs,https://www.youtube.com/embed/NRENeEgaIgA?rel=0,youtube
one arm cable extension,Triceps,Strength,Cable,Isolation,Push,Beginner,None,https://player.vimeo.com/video/756788023?h=3436312f3b&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
cable tricep extension with v bar,Triceps,Strength,Cable,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/KYGarkmUqvk?rel=0,youtube
back of the head lying tricep extension,Triceps,Strength,Barbell,Isolation,Push,Beginner,None,https://player.vimeo.com/video/756784188?h=1bb378d4fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479,vimeo
reverse grip one arm tricep pushdown,Triceps,Strength,Cable,Isolation,Pull,Beginner,None,cdn.muscleandstrength.com/video/reverseonearmtricepextension.mp4,mp4
incline two arm dumbbell extension,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,https://www.youtube.com/embed/LEw44j2iw-M?rel=0,youtube
one arm bent over dumbbell kickback,Triceps,Strength,Dumbbell,Isolation,Push (Unilateral),Beginner,None,https://www.youtube.com/embed/-fnJ97rBUKs?rel=0,youtube
cable tricep kickback,Triceps,Strength,Cable,Isolation,Push,Beginner,None,cdn.muscleandstrength.com/video/cabletricepkickback.mp4,mp4
