title,exercise_type,target_muscle_group,equipment,experience_level,exercise_rating,exercise_rating_description,alternative_exercises
Single-dumbbell push-up,Strength,Chest,Dumbbell,Intermediate,7.3,Average,Push-Ups - Close Triceps Position
Front Cone Hops (or hurdle hops),Plyometrics,Quadriceps,Other,Beginner,7.3,Average,N/A
Overhead bar front raise,Strength,Shoulders,Barbell,Intermediate,7.2,Average,"Single-arm cable front raise,Front Plate Raise,Alternating dumbbell front raise,Overhead dumbbell front raise"
Single-arm Smith machine upright row,Strength,Shoulders,Machine,Intermediate,7.2,Average,"Cable straight-bar upright row,Smith machine upright row,Barbell upright row"
Weighted Squat,Strength,Quadriceps,Other,Beginner,7.2,Average,"Dumbbell sumo squat,Dumbbell squat"
Dumbbell Seated One-Leg Calf Raise,Strength,Calves,N/A,Intermediate,7.2,Average,"Seated Calf Raise,Barbell Seated Calf Raise"
Cable Incline Pushdown,Strength,Lats,N/A,Intermediate,7.2,Average,"Bent-arm dumbbell pull-over,Bent-arm barbell pull-over"
Hip Extension with Bands,Strength,Glutes,Bands,Beginner,7.2,Average,N/A
Kipping Muscle Up,Strength,Lats,Body Only,Intermediate,7.2,Average,N/A
Machine Lateral Raise,Strength,Shoulders,Machine,Intermediate,7.2,Average,"Single-arm lateral raise,Seated Side Lateral Raise"
Ankle Circles,Stretching,Calves,None,Beginner,7.2,Average,Balance Board
Reverse Plate Curls,Strength,Biceps,Other,Beginner,7.2,Average,"Reverse-grip barbell curl,Reverse Cable Curl"
Clean Pull ,Olympic Weightlifting,Quadriceps,Barbell,Beginner,7.2,Average,"Power clean,Snatch Pull"
Push Up to Side Plank,Strength,Chest,Body Only,Intermediate,7.1,Average,N/A
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner,7.1,Average,"Cable rope preacher hammer curl,High Cable Curls"
Behind-the-neck pull-down,Strength,Lats,Cable,Intermediate,7.1,Average,"Pullups,Wide-Grip Rear Pull-Up"
Isometric Chest Squeezes,Plyometrics,Chest,Body Only,Beginner,7.1,Average,N/A
Seated leg tuck,Strength,Abdominals,N/A,Intermediate,7.1,Average,"Reverse crunch,Exercise Ball Pull-In"
Standing Biceps Stretch,Stretching,Biceps,Other,Beginner,7.1,Average,N/A
Incline cable straight-bar triceps extension,Strength,Triceps,Cable,Intermediate,7.1,Average,"Lying cable triceps extension,Decline EZ-bar skullcrusher,Reverse-grip bench press"
Groin and Back Stretch,Stretching,Adductors,None,Beginner,7.1,Average,N/A
Bench skip,Plyometrics,Quadriceps,Other,Intermediate,7,Average,Single Leg Push-off
Scissor Kick,Stretching,Abdominals,Body Only,Intermediate,7,Average,Ab bicycle
Smith machine pistol squat,Strength,Quadriceps,Machine,Intermediate,7,Average,Kettlebell Pistol Squat
Wide-Stance Leg Press,Strength,Quadriceps,N/A,Intermediate,7,Average,N/A
Dumbbell Squat To A Bench,Strength,Quadriceps,Dumbbell,Beginner,7,Average,N/A
Kettlebell Seated Press,Strength,Shoulders,Kettlebells,Beginner,7,Average,N/A
Floor rope climb,Strength,Lats,Other,Beginner,7,Average,Kneeling lat pull-down
Smith machine stiff-legged deadlift,Strength,Hamstrings,Machine,Beginner,7,Average,N/A
Single-arm kettlebell overhead squat,Strength,Quadriceps,Kettlebells,Expert,7,Average,N/A
Barbell Side Bend,Strength,Abdominals,Barbell,Beginner,7,Average,"Seated bar twist,Plate Twist,Cross-Body Crunch"
Double Kettlebell Jerk,Strength,Shoulders,Kettlebells,Beginner,7,Average,N/A
90-degree jump squat,Plyometrics,Quadriceps,Body Only,Intermediate,7,Average,N/A
Pin Presses,Powerlifting,Triceps,Barbell,Beginner,7,Average,"Board bench press,Floor Press"
Backward Drag,Strongman,Quadriceps,Other,Beginner,6.9,Average,Sled Drag - Harness
Toe Touchers,Stretching,Abdominals,Body Only,Intermediate,6.9,Average,Knees tucked crunch
Alternate Leg Diagonal Bound,Plyometrics,Quadriceps,None,Beginner,6.9,Average,N/A
Landmine Linear Jammer,Strength,Shoulders,Other,Intermediate,6.8,Average,N/A
Sled Push,Strongman,Quadriceps,Other,Intermediate,6.8,Average,N/A
Clean Shrug,Olympic Weightlifting,Traps,Barbell,Beginner,6.8,Average,"Standing dumbbell shrug,Snatch Shrug"
Backward Medicine Ball Throw,Plyometrics,Shoulders,Medicine Ball,Beginner,6.8,Average,N/A
Kettlebell Arnold Press ,Strength,Shoulders,Kettlebells,Beginner,6.8,Average,N/A
Barbell squat with plate slide,Strength,Quadriceps,Other,Intermediate,6.7,Average,N/A
Monster Walk,Strength,Abductors,Body Only,Intermediate,6.7,Average,N/A
Upward Stretch,Stretching,Shoulders,Body Only,Intermediate,6.7,Average,N/A
Barbell Guillotine Bench Press,Strength,Chest,Barbell,Beginner,6.7,Average,"Neck Press,Incline dumbbell bench press"
Standing Toe Touches,Stretching,Hamstrings,N/A,Intermediate,6.7,Average,N/A
Shoulder Circles,Stretching,Shoulders,Body Only,Intermediate,6.7,Average,N/A
Lying groin stretch with band,Stretching,Hamstrings,Body Only,Intermediate,6.7,Average,N/A
Standing Hamstring and Calf Stretch,Stretching,Hamstrings,Bands,Intermediate,6.7,Average,N/A
Side-to-side push-up,Strength,Chest,Body Only,Beginner,6.7,Average,Pushups
Piriformis SMR,Stretching,Glutes,Foam Roll,Intermediate,6.6,Average,N/A
Scapular Pull-Up,Strength,Traps,None,Beginner,6.6,Average,N/A
Cable Seated Lateral Raise,Strength,Shoulders,Cable,Intermediate,6.5,Average,"Back Flyes - With Bands,Barbell rear delt bent-over row,Dumbbell Lying Rear Lateral Raise"
Lower Back Curl,Stretching,Abdominals,Body Only,Intermediate,6.5,Average,N/A
One-Arm Flat Bench Dumbbell Flye,Strength,Chest,Dumbbell,Beginner,6.5,Average,"Dumbbell Flyes,Cable Crossover,Lying cable chest fly"
Suspended split squat,Strength,Quadriceps,Other,Intermediate,6.5,Average,"Smith machine Bulgarian split squat,Alternating lunge jump,Split Squat with Dumbbells"
Incline barbell shoulder protraction,Strength,Shoulders,Barbell,Intermediate,6.5,Average,N/A
Behind-the-head push-press,Olympic Weightlifting,Shoulders,Barbell,Intermediate,6.5,Average,"Push-press,Single-arm kettlebell push-press"
Straight Bar Bench Mid Rows,Strength,Middle Back,Barbell,Beginner,6.5,Average,Seated Cable Rows
Standing hip extension,Strength,Glutes,Body Only,Beginner,6.5,Average,"Glute Kickback,Single-leg cable hip extension"
Standing Towel Triceps Extension,Strength,Triceps,Body Only,Beginner,6.5,Average,"Kneeling cable triceps extension,Cable overhead triceps extension,Single-arm dumbbell triceps extension,Seated triceps press"
Weighted Ball Side Bend,Strength,Abdominals,Exercise Ball,Beginner,6.4,Average,"Barbell Side Bend,Lying oblique crunch"
Isometric Neck Exercise - Front And Back,Strength,Neck,Body Only,Beginner,6.4,Average,N/A
Atlas Stone Trainer,Strongman,Lower Back,Other,Beginner,6.4,Average,Atlas Stones
Peroneals-SMR,Stretching,Calves,Body Only,Intermediate,6.4,Average,N/A
Inverted Row with Straps,Strength,Middle Back,Other,Beginner,6.4,Average,N/A
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner,6.3,Average,N/A
Bent Press,Strength,Abdominals,Kettlebells,Intermediate,6.3,Average,"Seated dumbbell shoulder press,One-Arm Kettlebell Military Press To The Side,Single-arm kettlebell push-press,Kettlebell Turkish Get-Up (Squat style),One-Arm Kettlebell Split Jerk"
Lying Hamstring,Stretching,Hamstrings,Other,Beginner,6.3,Average,N/A
Knee Circles,Stretching,Calves,Body Only,Beginner,6.3,Average,N/A
Dumbbell Tricep Extension -Pronated Grip,Strength,Triceps,Dumbbell,Beginner,6.3,Average,N/A
One Arm Chin-Up,Strength,Middle Back,Other,Beginner,6.3,Average,N/A
Intermediate Hip Flexor and Quad Stretch,Stretching,Quadriceps,Other,Beginner,6.3,Average,N/A
Snatch Shrug,Olympic Weightlifting,Traps,Barbell,Beginner,6.2,Average,Snatch Pull
Seated Dumbbell Palms-Up Wrist Curl,Strength,Forearms,Dumbbell,Beginner,6.2,Average,"Standing behind-the-back wrist curl,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl"
Barbell seal row,Strength,Middle Back,Barbell,Intermediate,6.2,Average,Lying T-Bar Row
Sit Squats,Stretching,Quadriceps,None,Beginner,6.1,Average,N/A
Crucifix,Strongman,Shoulders,Other,Beginner,6,Average,Side Lateral Raise
Calf SMR,Stretching,Calves,Foam Roll,Beginner,6,Average,N/A
Kettlebell alternating floor press,Strength,Chest,Kettlebells,Beginner,6,Average,N/A
Hip Lift with Band,Powerlifting,Glutes,Bands,Beginner,6,Average,"Barbell Hip Thrust,Barbell glute bridge"
Forward Drag with Press,Strongman,Chest,Other,Beginner,6,Average,N/A
Medicine Ball Chest Pass,Plyometrics,Chest,Medicine Ball,Intermediate,5.9,Average,N/A
Lying hamstring stretch with band,Stretching,Hamstrings,None,Beginner,5.9,Average,N/A
Cross-body shoulder stretch,Stretching,Shoulders,Body Only,Intermediate,5.9,Average,N/A
One Arm Against Wall,Stretching,Lats,Body Only,Intermediate,5.8,Average,N/A
Catch and Overhead Throw,Plyometrics,Lats,Medicine Ball,Beginner,5.8,Average,N/A
Smith Machine Hang Power Clean,Strength,Hamstrings,N/A,Intermediate,5.8,Average,"Power clean,Kettlebell Hang Clean,Hang Clean,Power Clean from Blocks"
Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,5.8,Average,"Cable rope preacher hammer curl,Barbell Curls Lying Against An Incline,Face-down incline dumbbell biceps curl"
Squats - With Bands,Strength,Quadriceps,Bands,Beginner,5.8,Average,"Barbell front squat,Front Barbell Squat To A Bench,Front Squats With Two Kettlebells"
Dynamic chest stretch,Stretching,Chest,N/A,Intermediate,5.8,Average,N/A
Rhomboids SMR,Stretching,Middle Back,Body Only,Intermediate,5.7,Average,N/A
Neck Bridge Prone,Strength,Neck,Body Only,Beginner,5.7,Average,N/A
Chain Press,Powerlifting,Chest,Other,Beginner,5.6,Average,Dumbbell Bench Press
Standing Gastrocnemius Calf Stretch,Stretching,Calves,Body Only,Intermediate,5.6,Average,N/A
Skip,Plyometrics,Quadriceps,Body Only,Intermediate,5.5,Average,N/A
Hamstring-SMR,Stretching,Hamstrings,Foam Roll,Beginner,5.5,Average,N/A
Bench Press - With Bands,Strength,Chest,Bands,Beginner,5.5,Average,"Dumbbell Bench Press,Lying cable chest fly,Machine chest press"
Tricep Side Stretch,Stretching,Triceps,Body Only,Intermediate,5.5,Average,N/A
Kneeling hip flexor stretch,Stretching,Quadriceps,Body Only,Intermediate,5.4,Average,N/A
Hug A Ball,Stretching,Lower Back,Body Only,Intermediate,5.4,Average,N/A
Quadriceps SMR,Stretching,Quadriceps,Foam Roll,Intermediate,5.4,Average,N/A
Upper Back-Leg Grab,Stretching,Hamstrings,None,Beginner,5.4,Average,N/A
Dancer&#x27;s Stretch,Stretching,Lower Back,None,Beginner,5.4,Average,N/A
Elbow Circles,Stretching,Shoulders,None,Beginner,5.3,Average,N/A
Wall calf stretch,Stretching,Calves,Body Only,Intermediate,5.3,Average,N/A
Spinal Stretch,Stretching,Middle Back,Body Only,Intermediate,5.3,Average,N/A
Front Barbell Squat To A Bench,Strength,Quadriceps,Barbell,Beginner,5.3,Average,"Barbell Squat To A Bench,Dumbbell Squat To A Bench,Barbell Full Squat"
Anterior Tibialis-SMR,Stretching,Calves,Other,Beginner,5.3,Average,N/A
Child&#x27;s pose,Stretching,Lower Back,Body Only,Intermediate,5.3,Average,N/A
Kettlebell Dead Clean,Strength,Hamstrings,Kettlebells,Beginner,5.3,Average,N/A
Partner farmer&#x27;s walk,Strength,Forearms,Dumbbell,Beginner,5.3,Average,N/A
Seated Hamstring,Stretching,Hamstrings,None,Beginner,5.3,Average,N/A
Bar shoulder extension stretch,Stretching,Shoulders,Other,Beginner,5.3,Average,N/A
Kneeling Forearm Stretch,Stretching,Forearms,None,Beginner,5.2,Average,N/A
Iron Crosses (stretch),Stretching,Quadriceps,Body Only,Intermediate,5.2,Average,N/A
Seated Floor Hamstring Stretch,Stretching,Hamstrings,N/A,Intermediate,5.1,Average,N/A
Arm circle,Stretching,Shoulders,Body Only,Intermediate,5.1,Average,"Back Flyes - With Bands,Cable Internal Rotation"
Pelvic Tilt Into Bridge,Stretching,Lower Back,Body Only,Intermediate,5.1,Average,N/A
Seated Biceps,Stretching,Biceps,Body Only,Beginner,5,Average,N/A
90/90 Hamstring,Stretching,Hamstrings,Body Only,Beginner,5,Average,N/A
All Fours Quad Stretch,Stretching,Quadriceps,Body Only,Beginner,5,Average,N/A
Cable Judo Flip,Strength,Abdominals,Cable,Beginner,5,Average,N/A
Exercise ball torso rotation,Stretching,Abdominals,Body Only,Intermediate,5,Average,N/A
Lying quad stretch with band,Stretching,Quadriceps,Body Only,Intermediate,4.9,Average,N/A
Cat Stretch,Stretching,Lower Back,None,Beginner,4.9,Average,N/A
Calf Stretch Elbows Against Wall,Stretching,Calves,None,Beginner,4.9,Average,N/A
Behind Head Chest Stretch,Stretching,Chest,Other,Beginner,4.9,Average,N/A
Alternating Hang Clean,Strength,Hamstrings,Kettlebells,Beginner,4.9,Average,N/A
Calf Raises - With Bands,Strength,Calves,Bands,Beginner,4.8,Average,"Calf Press On The Leg Press Machine,Standing barbell calf raise,Standing Dumbbell Calf Raise,Calf Raise On A Dumbbell"
Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,Beginner,4.8,Average,"Standing Calf Raises,Calf Press On The Leg Press Machine,Standing Dumbbell Calf Raise,Calf Raises - With Bands"
Lying glute stretch,Stretching,Glutes,Body Only,Intermediate,4.8,Average,N/A
Triceps Stretch,Stretching,Triceps,Body Only,Intermediate,4.8,Average,N/A
Side Neck Stretch,Stretching,Neck,Body Only,Intermediate,4.8,Average,N/A
Elbows Back,Stretching,Chest,None,Beginner,4.8,Average,N/A
Dynamic Back Stretch,Stretching,Lats,None,Beginner,4.8,Average,N/A
Seated bar twist,Strength,Abdominals,Barbell,Intermediate,4.7,Average,N/A
One Half Locust,Stretching,Quadriceps,Body Only,Intermediate,4.7,Average,N/A
Latissimus dorsi SMR,Stretching,Lats,Foam Roll,Intermediate,4.7,Average,N/A
Seated Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate,4.7,Average,N/A
Seated Front Deltoid,Stretching,Shoulders,Body Only,Beginner,4.5,Average,N/A
Lower back SMR,Stretching,Lower Back,Foam Roll,Intermediate,4.5,Average,N/A
Hug Knees To Chest,Stretching,Lower Back,Body Only,Intermediate,4.4,Average,N/A
World&#x27;s greatest stretch,Stretching,Hamstrings,Body Only,Intermediate,4.4,Average,N/A
Standing Hip Flexors,Stretching,Quadriceps,Body Only,Intermediate,4.4,Average,N/A
The Straddle,Stretching,Hamstrings,Body Only,Intermediate,4.3,Average,N/A
Looking At Ceiling,Stretching,Quadriceps,Body Only,Intermediate,4.3,Average,N/A
Standing Soleus And Achilles Stretch,Stretching,Calves,None,Beginner,4.2,Average,N/A
Upper Back Stretch,Stretching,Middle Back,Body Only,Intermediate,4.2,Average,N/A
Alternating lunge jump,Stretching,Hamstrings,None,Beginner,4.2,Average,N/A
Chair Upper Body Stretch,Stretching,Shoulders,Other,Beginner,4.1,Average,N/A
Seated Calf Stretch,Stretching,Calves,Body Only,Intermediate,4.1,Average,N/A
Shoulder Raise,Stretching,Shoulders,Body Only,Intermediate,4.1,Average,N/A
Downward Facing Balance,Strength,Glutes,Exercise Ball,Beginner,4,Average,N/A
Kneeling Arm Drill ,Plyometrics,Shoulders,None,Beginner,4,Average,N/A
Adductor SMR,Stretching,Adductors,Foam Roll,Beginner,4,Average,N/A
Crossover Reverse Lunge,Stretching,Lower Back,None,Beginner,3.9,Average,N/A
Overhead Stretch,Stretching,Abdominals,Body Only,Intermediate,3.9,Average,N/A
Frog Hops,Stretching,Quadriceps,None,Beginner,3.9,Average,N/A
Side Lying Groin Stretch,Stretching,Adductors,Body Only,Intermediate,3.8,Average,N/A
Chin To Chest Stretch,Stretching,Neck,N/A,Intermediate,3.8,Average,N/A
Middle Back Stretch,Stretching,Middle Back,Body Only,Intermediate,3.8,Average,N/A
Runner&#x27;s Stretch,Stretching,Hamstrings,None,Intermediate,3.6,Average,N/A
One Handed Hang,Stretching,Lats,Body Only,Intermediate,3.6,Average,N/A
Exercise ball chest stretch,Stretching,Chest,Exercise Ball,Beginner,3.6,Average,N/A
Adductor/Groin ,Stretching,Adductors,None,Beginner,3.6,Average,N/A
Knee Across The Body,Stretching,Glutes,Body Only,Intermediate,3.5,Average,N/A
Rear Leg Raises,Stretching,Quadriceps,Body Only,Beginner,3.4,Average,N/A
Medicine ball scoop throw,Plyometrics,Shoulders,Medicine Ball,Intermediate,3.4,Average,"Power snatch-,Tire flip"
Overhead Triceps,Stretching,Triceps,Body Only,Beginner,3.3,Average,N/A
Peroneals Stretch,Stretching,Calves,Bands,Intermediate,3.3,Average,N/A
On Your Side Quad Stretch,Stretching,Quadriceps,Body Only,Intermediate,3.3,Average,N/A
On-Your-Back Quad Stretch,Stretching,Quadriceps,Body Only,Intermediate,3.3,Average,N/A
Chair Lower Back Stretch,Stretching,Lats,None,Beginner,3.2,Average,N/A
Standing side bend stretch,Stretching,Lats,Body Only,Intermediate,3.2,Average,N/A
Brachialis SMR,Stretching,Biceps,Foam Roll,Beginner,3.2,Average,N/A
Seated Glute,Stretching,Glutes,Body Only,Beginner,3.1,Average,N/A
Standing Pelvic Tilt,Stretching,Lower Back,None,Beginner,3.1,Average,N/A
Double-kettlebell windmill,Strength,Shoulders,Kettlebells,Intermediate,3,Average,N/A
Lying Glute,Stretching,Glutes,Body Only,Beginner,3,Average,N/A
Pass-through stretch with band,Stretching,Chest,Other,Beginner,3,Average,N/A
Lying Bent Leg Groin,Stretching,Adductors,Other,Beginner,2.8,Average,N/A
Neck-SMR,Stretching,Neck,Body Only,Intermediate,2.8,Average,N/A
Foot-SMR,Stretching,Calves,Other,Beginner,2.7,Average,N/A
One Knee To Chest,Stretching,Glutes,Body Only,Intermediate,2.7,Average,N/A
Standing Elevated Quad Stretch,Stretching,Quadriceps,Body Only,Intermediate,2.7,Average,N/A
Wrist Circles,Stretching,Forearms,Body Only,Beginner,2.5,Average,N/A
Chair Leg Extended Stretch,Stretching,Hamstrings,Other,Beginner,2.4,Average,N/A
IT Band and Glute Stretch,Stretching,Abductors,Body Only,Intermediate,2.4,Average,N/A
Single-leg lying cross-over stretch,Stretching,Abductors,Body Only,Beginner,1.6,Average,N/A
Side-Lying Floor Stretch,Stretching,Lats,None,Beginner,1,Average,N/A
Posterior Tibialis Stretch,Stretching,Calves,Bands,Intermediate,1,Average,N/A
Overhead Lat,Stretching,Lats,Other,Beginner,1,Average,N/A
Pyramid,Stretching,Lower Back,Body Only,Intermediate,1,Average,N/A
Sled Drag - Harness,Strongman,Quadriceps,Other,Intermediate,0,N/A,Sled Push
Burpee over barbell,Plyometrics,Quadriceps,Other,Intermediate,0,N/A,N/A
Medicine ball rotational throw,Strength,Abdominals,Medicine Ball,Intermediate,0,N/A,Russian twist
Medicine ball sprawl to chest press,Strength,Chest,Medicine Ball,Intermediate,0,N/A,N/A
Bosu Ball Crunch,Strength,Abdominals,N/A,Intermediate,0,N/A,Crunches
Dumbbell Overhead Squat,Strength,Quadriceps,N/A,Intermediate,0,N/A,N/A
Front Squat Push Press,Strength,Quadriceps,Barbell,Intermediate,0,N/A,N/A
Single-arm half-kneeling shoulder press,Strength,Shoulders,Dumbbell,Intermediate,0,N/A,Alternating Cable Shoulder Press
Hand Stand Push-Up,Strength,Shoulders,Body Only,Intermediate,0,N/A,Standing dumbbell shoulder press
Weighted Push-Up,Strength,Chest,Other,Intermediate,0,N/A,N/A
Wall walk,Strength,Shoulders,Body Only,Intermediate,0,N/A,N/A
Dumbbell walking lunge-,Strength,Quadriceps,Other,Intermediate,0,N/A,Barbell walking lunge
Suitcase crunch,Strength,Abdominals,Other,Intermediate,0,N/A,V-up
Seated Scissor Kick,Strength,Abdominals,Body Only,Intermediate,0,N/A,Scissor Kick
Sled Reverse Flye,Strength,Shoulders,Other,Intermediate,0,N/A,N/A
Dumbbell thruster,Strength,Quadriceps,Dumbbell,Intermediate,0,N/A,Push-press
Thigh killa,Strength,Quadriceps,Body Only,Intermediate,0,N/A,N/A
Sumo Deadlift with Bands,Powerlifting,Hamstrings,Barbell,Beginner,0,N/A,"Sumo deadlift,Sumo Deadlift with Chains"
Partner Facing Feet-Elevated Side Plank With Band Row,Strength,Middle Back,Bands,Beginner,0,N/A,N/A
Barbell reverse lunge,Strength,Quadriceps,Barbell,Intermediate,0,N/A,Barbell Bulgarian split squat
One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner,0,N/A,N/A
Prone Manual Hamstring,Strength,Hamstrings,Body Only,Intermediate,0,N/A,N/A
Suspended Leg Curl,Strength,Hamstrings,Other,Beginner,0,N/A,Seated Leg Curl
Single-Leg Box Jump,Plyometrics,Quadriceps,Other,Beginner,0,N/A,"Box jump,Step-up with knee raise"
Hollow-hold ball toss,Strength,Abdominals,Medicine Ball,Intermediate,0,N/A,N/A
Southpaw sprawl,Plyometrics,Quadriceps,Body Only,Intermediate,0,N/A,N/A
Conan&#x27;s Wheel,Strongman,Quadriceps,Other,Beginner,0,N/A,Zercher squat
JM Press With Bands,Strength,Triceps,Barbell,Beginner,0,N/A,N/A
Kettlebell side squat,Strength,Quadriceps,Kettlebells,Intermediate,0,N/A,N/A
Single-Leg Hop Progression,Plyometrics,Quadriceps,Other,Beginner,0,N/A,Alternate Leg Diagonal Bound
Partner resistance standing twist,Strength,Abdominals,Body Only,Intermediate,0,N/A,N/A
Rickshaw Deadlift ,Strongman,Quadriceps,Other,Beginner,0,N/A,N/A
Burpee to pull-up,Plyometrics,Lats,Body Only,Intermediate,0,N/A,N/A
Return Push from Stance,Plyometrics,Shoulders,Body Only,Intermediate,0,N/A,N/A
Barbell pull-over to press,Strength,Lats,Barbell,Beginner,0,N/A,N/A
Stride Jump Crossover,Plyometrics,Quadriceps,Body Only,Intermediate,0,N/A,"Single Leg Push-off,Single-Leg Lateral Hop"
Typewriter push-up,Strength,Chest,Body Only,Beginner,0,N/A,N/A
Feet Jack,Plyometrics,Quadriceps,N/A,Intermediate,0,N/A,Jumping jack-
Wall shoulder tap,Strength,Shoulders,Body Only,Intermediate,0,N/A,N/A
Rack Delivery,Olympic Weightlifting,Shoulders,Barbell,Beginner,0,N/A,N/A
Cross Crunch,Strength,Abdominals,Body Only,Beginner,0,N/A,Cross-Body Crunch
Dumbbell suitcase carry,Strength,Forearms,Dumbbell,Intermediate,0,N/A,N/A
Dumbbell front squat,Strength,Quadriceps,Dumbbell,Intermediate,0,N/A,N/A
Carioca quick step,Plyometrics,Adductors,Body Only,Intermediate,0,N/A,N/A
Split Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0,N/A,"Power clean,Clean"
Single-cone sprint drill,Plyometrics,Quadriceps,Other,Intermediate,0,N/A,N/A
Heavy Bag Thrust,Plyometrics,Chest,Other,Beginner,0,N/A,"Kettlebell plyo push-up,Plyo push-up"
Diamond push-up,Strength,Chest,Body Only,Intermediate,0,N/A,N/A
Single-Leg Stride Jump,Plyometrics,Quadriceps,Other,Beginner,0,N/A,N/A
Side Standing Long Jump,Plyometrics,Quadriceps,Body Only,Intermediate,0,N/A,N/A
Dumbbell lateral hop to sprint,Plyometrics,Quadriceps,None,Intermediate,0,N/A,N/A
Plate shoulder circle big to small,Strength,Shoulders,Other,Intermediate,0,N/A,N/A
Close-stance dumbbell front squat,Strength,Quadriceps,Barbell,Intermediate,0,N/A,N/A
One-Arm Kettlebell Split Snatch ,Strength,Shoulders,Kettlebells,Beginner,0,N/A,N/A
Front Squat (Clean Grip),Strength,Quadriceps,Barbell,Beginner,0,N/A,Weighted sissy squat
Wall squat,Strength,Quadriceps,Body Only,Intermediate,0,N/A,N/A
Suspended Curl,Strength,Biceps,Other,Beginner,0,N/A,Preacher Curl
Hip Flexion with Band,Strength,Quadriceps,Bands,Beginner,0,N/A,N/A
Reverse Band Deadlift,Powerlifting,Lower Back,Barbell,Beginner,0,N/A,"Deadlift with Bands,Deadlift with Chains"
Sled Row,Strength,Middle Back,Other,Beginner,0,N/A,N/A
Leg-Over Floor Press,Strength,Chest,Kettlebells,Beginner,0,N/A,N/A
Full Moon,Strength,Abdominals,Body Only,Beginner,0,N/A,N/A
Good Morning off Pins,Powerlifting,Hamstrings,Barbell,Beginner,0,N/A,"Hanging Bar Good Morning,Band Good Morning (Pull Through)"
Barbell front squat to back squat,Strength,Quadriceps,Barbell,Intermediate,0,N/A,N/A
Slide Jump Shot,Plyometrics,Quadriceps,Body Only,Beginner,0,N/A,N/A
Sprawl frog kick,Plyometrics,Quadriceps,Body Only,Intermediate,0,N/A,N/A
One-Arm Kettlebell Para Press  ,Strength,Shoulders,Kettlebells,Beginner,0,N/A,N/A
Bear crawl shoulder tap,Strength,Shoulders,Body Only,Intermediate,0,N/A,N/A
Lateral Speed Step,Cardio,Quadriceps,Body Only,Intermediate,0,N/A,N/A
Squat Jerk,Strength,Quadriceps,Barbell,Beginner,0,N/A,"Clean and jerk,Jerk Balance,Snatch Balance "
One-Arm Open Palm Kettlebell Clean ,Strength,Hamstrings,Kettlebells,Beginner,0,N/A,N/A
Barbell Front-To-Back Squat,Strength,Quadriceps,Barbell,Intermediate,0,N/A,N/A
Knee To Chest,Stretching,Hamstrings,Body Only,Beginner,0,N/A,N/A
Single-Arm Dumbbell Overhead Squat,Strength,Quadriceps,Dumbbell,Beginner,0,N/A,N/A
Trap Bar Jump,Plyometrics,Quadriceps,Other,Beginner,0,N/A,N/A
Side Hop-Sprint,Plyometrics,Quadriceps,Body Only,Intermediate,0,N/A,N/A
External Rotation with Band,Strength,Shoulders,Bands,Beginner,0,N/A,N/A
Judo push-up,Strength,Chest,Body Only,Beginner,0,N/A,N/A
Decline Explosive Push-Up,Plyometrics,Chest,Other,Beginner,0,N/A,N/A
Forward Band Walk,Strength,Quadriceps,Bands,Beginner,0,N/A,N/A
Stiff-Legged Deadlift,Strength,Hamstrings,Barbell,Beginner,0,N/A,"Barbell stiff-legged deadlift,Stiff-Legged Dumbbell Deadlift"
Single-Leg Lateral Hop,Plyometrics,Quadriceps,Other,Beginner,0,N/A,"Lateral hop,Lateral box jump,Lateral cone hop"
Bench Press With Short Bands,Powerlifting,Chest,Bands,Beginner,0,N/A,N/A
Plate hammer curl,Strength,Biceps,Other,Beginner,0,N/A,Hammer Curls
Open Palm Kettlebell Clean ,Strength,Hamstrings,Kettlebells,Beginner,0,N/A,N/A
Sled Overhead Backward Walk,Strength,Shoulders,Other,Beginner,0,N/A,N/A
Bosu Ball Push-Up,Strength,Chest,Exercise Ball,Beginner,0,N/A,Pushups
Pop squat,Plyometrics,Quadriceps,Body Only,Intermediate,0,N/A,N/A
Box Skip,Plyometrics,Hamstrings,Other,Beginner,0,N/A,"Alternate Leg Diagonal Bound,Box Jump (Multiple Response)"
Box Squat with Chains,Strength,Quadriceps,Barbell,Beginner,0,N/A,"Box Squat with Bands,Squat with Bands,Squat with Chains"
Smith Incline Shoulder Raise,Strength,Shoulders,Barbell,Beginner,0,N/A,"Incline barbell shoulder protraction,Smith Incline Shoulder Raise"
Seated Glute Stretch,Stretching,Glutes,Body Only,Beginner,0,N/A,N/A
Superman Push-Up,Plyometrics,Chest,Body Only,Beginner,0,N/A,N/A
Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner,0,N/A,"Hang Snatch,Power Snatch,Power Snatch from Blocks"
V-sit with overhead triceps extension,Strength,Triceps,Dumbbell,Intermediate,0,N/A,N/A
Wide push-up,Strength,Chest,Body Only,Beginner,0,N/A,N/A
